dog,dogs
cat,cats
cucumber,cucumbers
elephant,elephants
banana,bananas
rabbit,rabbits
apple,apples
giraffe,giraffes
carrot,carrots
penguin,penguins
strawberry,strawberries
lion,lions
potato,potatoes
monkey,monkeys
tomato,tomatoes
zebra,zebras
grape,grapes
bear,bears
pear,pears
tiger,tigers
onion,onions
cow,cows
chicken,chickens
pig,pigs
sheep,sheep
goat,goats
duck,ducks
horse,horses
deer,deer
wolf,wolves
fox,foxes
kangaroo,kangaroos
koala,koalas
panda,pandas
rhinoceros,rhinoceroses
hippopotamus,hippopotamuses
crocodile,crocodiles
turtle,turtles
frog,frogs
snake,snakes
parrot,parrots
eagle,eagles
owl,owls
salmon,salmon
shark,sharks
whale,whales
dolphin,dolphins
octopus,octopi
crab,crabs
lobster,lobsters
shrimp,shrimps
lettuce,lettuce
cabbage,cabbages
broccoli,broccolis
spinach,spinaches
pepper,peppers
eggplant,eggplants
corn,corn
bean,beans
pea,peas
rice,rice
mushroom,mushrooms
garlic,garlics
avocado,avocados
pineapple,pineapples
watermelon,watermelons
orange,oranges
lemon,lemons
blueberry,blueberries
cherry,cherries
peach,peaches
mango,mangos
coconut,coconuts
almond,almonds
peanut,peanuts
